Protein.Group,Control_log2_FC,Control_log10_pval,PP_0368_log2_FC,PP_0368_log10_pval,PP_0751_log2_FC,PP_0751_log10_pval,PP_0812_15_log2_FC,PP_0812_15_log10_pval,PP_0812_log2_FC,PP_0812_log10_pval,PP_0813_log2_FC,PP_0813_log10_pval,PP_0814_log2_FC,PP_0814_log10_pval,PP_0815_log2_FC,PP_0815_log10_pval,PP_0751_PP_0812_log2_FC,PP_0751_PP_0812_log10_pval,PP_1317_PP_0812_log2_FC,PP_1317_PP_0812_log10_pval,PP_1317_log2_FC,PP_1317_log10_pval,PP_2136_log2_FC,PP_2136_log10_pval
PP_0657,,,,,,,,,,,,,,,1.6040932424289294,1.508865358735911,,,,,,,-1.745921278024175,2.7034663123212113
PP_0675,,,,,,,,,,,,,,,-1.8994519333512339,4.725127595546409,,,,,,,,
PP_0711,,,,,,,,,,,,,,,3.7061437861283615,2.139855480395534,,,,,,,,
PP_0749,,,,,,,,,,,,,,,1.2320068785052352,1.8714783580370693,,,,,,,,
PP_0790,,,,,,,,,,,,,,,4.173036553685673,3.60579819768611,,,,,,,,
PP_0859,,,,,,,,,,,,,,,1.8190619552086813,2.2773701812136773,,,,,,,,
PP_0868,,,,,,,,,,,,,,,-1.0534032167815601,2.356716352525744,,,,,,,,
PP_0909,,,,,,,,,,,,,,,-1.5717346077868684,3.130339163298086,,,,,,,,
PP_0998,,,,,,,,,,,,,,,1.3425530319687053,4.86766546521316,,,,,,,,
PP_0999,,,,,,,,,,,,,,,1.3228678619825114,4.115437673314967,,,,,,,,
PP_1000,,,,,,,,,,,,,,,1.2263775710587002,4.0936820039998025,,,,,,,,
PP_1001,,,,,,,,,,,,,,,1.1416839638304361,5.034566345282221,,,,,,,,
PP_1002,,,,,,,,,,,,,,,2.00100059272428,1.3239538678846143,,,,,,,,
PP_1009,,,,,,,,,,,,,,,-1.4053148044757902,3.5608839604501714,,,,,,,,
PP_1012,,,,,,,,,,,,,,,-1.3059959775277235,1.4055787700900813,,,,,1.8698529189711641,1.626103277856351,,
PP_1015,,,,,,,,,,,,,,,-1.5442399539974592,4.287478558620117,,,,,,,,
PP_1016,,,,,,,,,,,,,,,-1.9084399495015618,2.025141677885642,,,,,,,,
PP_1017,,,,,,,,,,,,,,,-2.2504437189479547,3.72750908168979,,,,,,,3.9372530683990354,2.8255308426008785
PP_1018,,,,,,,,,,,,,,,-2.3350447829365373,3.653011421715219,,,,,,,1.0952618066031004,1.4470283384323568
PP_1019,,,,,,,,,,,,,,,-3.022445822560204,2.462843471432389,,,,,,,,
PP_1021,,,,,,,,,,,,,,,2.281160526553541,2.111312024726481,,,,,,,,
