Protein.Group,PRT1093_PP_0528_PP_0751_PP_0812_PP_0815_log2_change,PRT1093_PP_0528_PP_0751_PP_0812_PP_0815_log10_p_value,PRT1093_PP_0528_PP_0751_PP_0813_PP_0815_log2_change,PRT1093_PP_0528_PP_0751_PP_0813_PP_0815_log10_p_value,PRT1093_PP_0368_PP_0751_PP_0813_PP_0815_log2_change,PRT1093_PP_0368_PP_0751_PP_0813_PP_0815_log10_p_value,PRT1093_PP_0368_PP_0751_PP_0814_PP_0815_log2_change,PRT1093_PP_0368_PP_0751_PP_0814_PP_0815_log10_p_value
PP_0463,,,-0.7032169755085876,4.754155063996336,-0.45421625335296795,6.333332675245403,,
PP_0464,-0.9031266716712846,3.741385321309623,-0.7571802023421556,6.566887861998442,-0.49837189180162106,5.968783044996803,-0.5683002081671398,7.169654153704388
PP_0465,-0.825484974534708,3.9942617482014953,-0.7585875398085502,5.360091351461757,-0.456216475213254,7.9978433327516,-0.6333873779557734,9.028205205590568
PP_0466,-1.0384933635952633,3.1363239741657956,-0.9478536216328128,3.624934148017911,-0.9107243013005508,8.859175484382313,-0.588912273638469,5.328876169261128
PP_0467,-0.6748778673163687,8.264409073241113,-0.6718098907418687,7.324631444770638,-0.3514653632599687,4.000136406993582,-0.5677254186943148,8.210414684362886
PP_0468,-0.67571606126294,2.883603560767593,-0.7338494839177215,6.116896831521709,-0.3103957812869883,3.832184309462616,-0.4881940024578165,5.892366359219538
PP_0469,-0.5951859605810864,1.6253480317021192,-0.6634188086515054,2.3749282312967903,-0.430292568479604,4.985412923433492,,
PP_0470,-1.0691663119323143,7.85914868887582,-0.8310860497263888,3.3651282131995797,-0.5186342506813825,5.229676274723341,-0.8329467199691595,5.002556135327522
PP_0471,-0.47634254644468843,1.7149284240327554,,,-0.31878432970990206,3.550948104848505,-0.38919246904080973,2.209554019823878
PP_0473,-0.6275040154402225,4.968698557280448,-0.7248509044677693,4.07444947484832,-0.4366157091316268,5.365951084941497,-0.43887054621787847,5.409900099757811
PP_0474,,,,,,,-0.6571334140092556,1.697057983286484
PP_0476,,,-0.3448127061750574,1.6710153404152894,-0.3182212592747305,2.9476968286411656,-0.8221317087793787,1.6650544415971948
PP_0477,-0.541046659899615,1.5561385193519912,-0.5647985027603335,1.7416739524695002,-0.5914996554689743,2.159832893461015,-0.5827943864677061,2.8569442543531456
PP_0478,-0.7159421516607984,1.9532317986186487,-0.6697217444208912,2.327729696078553,-0.6215232103526914,9.896833902732988,-0.504227616778288,1.9352036625373978
