strain,value
PP_2136_PP_4189,334.2288
PP_1769_PP_4189,334.2164
PP_4189_PP_4192,334.0468
PP_0813_PP_2136,334.0396
PP_0814_PP_1506,334.0056
PP_0814_PP_1317,333.9296
PP_0814_PP_2136,333.6844
PP_0368_PP_0813_PP_4189,333.4547
PP_1769_PP_4189,333.2034
PP_0815,332.5873
PP_0437_PP_4189,332.2186
PP_0812_PP_0815,332.1885
PP_0528_PP_0751_PP_0815_PP_1317,332.0168
PP_0437_PP_4189,331.9523
PP_0368_PP_4189,331.6194
PP_0368_PP_0528,331.3034
PP_2137_PP_4189,330.95
PP_1506_PP_4189,330.6933
PP_0999_PP_4120_PP_4191,330.6532
PP_0368_PP_0812_PP_1769,329.6724
PP_0812_PP_0813,329.6645
PP_0813_PP_4189,329.4397
PP_0368_PP_0812,329.4278
PP_0812_PP_0814,328.939
PP_0437_PP_0814,328.6468
PP_0437_PP_4189,328.5849
PP_0368_PP_0812_PP_1769,328.5437
PP_0368_PP_0528_PP_4191,328.277
PP_0437_PP_0751_PP_4191,328.1692
PP_0814_PP_4192,328.0977
PP_0812_PP_0815_PP_2136,328.045
PP_0368_PP_4191,327.0705
PP_0368_PP_0813_PP_4189,326.928
PP_0528_PP_4120_PP_4191,326.5828
PP_0813_PP_0814_PP_1769,326.484
PP_0368_PP_0812_PP_1769,325.9858
PP_0528_PP_0813_PP_4191,325.8933
PP_0814_PP_3123,325.7144
PP_0813_PP_4191,325.2811
PP_0814_PP_2136,325.262
PP_0751_PP_0813,325.1568
PP_0813_PP_0814,325.089
PP_0814_PP_4192,324.987
PP_2137_PP_4189,324.4131
PP_0528_PP_1769,324.2522
PP_0814_PP_2136,324.2048
PP_0813_PP_2136,324.0881
PP_0751_PP_0812_PP_0813,323.7834
PP_0751_PP_0814_PP_1506_PP_1769,323.6029
PP_0528_PP_0815_PP_4191,323.151
PP_0528_PP_0813_PP_4191,323.0486
PP_0813_PP_4189,323.0009
PP_0368_PP_0528_PP_0812,322.9961
PP_4189_PP_4192,322.7526
PP_0812_PP_0813,322.6389
PP_0812_PP_4189,322.1197
PP_0437_PP_0813,321.7321
PP_0528_PP_0751_PP_4191,321.5996
PP_0814_PP_0815_PP_1317,321.4868
PP_4120_PP_4189,321.3163
Control,162.12527
PP_0751_PP_0814_PP_1506_PP_1769,321.1195
PP_0812_PP_0813,320.6444
PP_0751_PP_4191,320.5778
Control,161.6762
PP_0814_PP_3123,320.185
PP_0814_PP_5288,319.9066
PP_0815_PP_1317_PP_4189,318.9552
PP_0368_PP_4191,318.4913
PP_0437_PP_0813,318.4528
PP_0528_PP_4120_PP_4191,317.8891
PP_0437_PP_0814,317.2207
PP_0999_PP_4120_PP_4191,317.1662
PP_0814_PP_2136,317.1639
PP_0368_PP_0815_PP_1506,316.8816
PP_0812_PP_4189,316.7853
PP_0814_PP_4192,316.4488
PP_0813_PP_2136,316.374
PP_0813_PP_0814_PP_1769,316.3622
PP_0813_PP_4189_PP_4192,316.3442
PP_0751_PP_4191,315.6105
PP_0368_PP_4189,315.3215
PP_0813_PP_1769_PP_4189,315.2621
PP_0813_PP_1769_PP_4189,315.0608
PP_4189_PP_4191,315.0289
PP_0437_PP_0813,315.0045
PP_0528_PP_0815_PP_4191,314.9764
Control,150.89067
PP_0814_PP_1506,314.6088
Control,136.42987
PP_0814_PP_4192,314.1309
PP_0751_PP_0813_PP_0814,313.9162
PP_0812_PP_0814,313.8833
PP_0528_PP_0751_PP_0815_PP_1317,313.5371
PP_2137_PP_4189,313.3442
PP_0813_PP_1769,312.7704
PP_0368_PP_0528_PP_4191,312.557
PP_0812_PP_0814,312.2412
PP_0368_PP_0751,312.2311
PP_0751_PP_4191,312.0997
PP_0528_PP_0815_PP_4191,311.5081
PP_0814_PP_4192,311.2435
Control,123.84653
PP_0368_PP_0813_PP_4189,310.6837
PP_0001,65.72793
PP_4189_PP_4191,310.2654
PP_0814_PP_5288,310.2145
PP_0368_PP_0812,310.0115
PP_0368_PP_0815_PP_1506,309.7973
PP_0751_PP_0814_PP_1506_PP_1769,309.7199
PP_2112_PP_4189_PP_5186,309.3419
PP_0814_PP_4192,309.2832
PP_4189_PP_4192,309.2708
PP_0437_PP_0751_PP_0814,309.0987
PP_0751_PP_0813_PP_4191,308.8368
PP_0226_PP_0437_PP_0751,308.6022
PP_0528_PP_4120_PP_4191,308.5294
PP_0528_PP_4120_PP_4191,308.4656
PP_0813_PP_4189_PP_4192,308.1441
PP_2112_PP_4189_PP_5186,307.9846
PP_0368_PP_0812_PP_4192,307.9669
PP_0814_PP_1769,307.8523
PP_0001,63.3426
PP_0368_PP_0528_PP_0812,306.3925
PP_0368_PP_0812_PP_4192,306.138
PP_0812_PP_4189,306.0144
PP_4189_PP_4191,305.7293
PP_0812_PP_0814,305.3606
PP_0812_PP_0814,305.126
PP_0437_PP_0814,305.1196
PP_4189_PP_4192,304.9036
PP_0368_PP_0812_PP_0944,304.6038
PP_0368_PP_0812_PP_0944,304.007
PP_0812_PP_0813_PP_1317,303.7683
PP_0751_PP_4189,303.603
PP_0813_PP_0814,303.3752
PP_0813_PP_0814_PP_1769,303.3029
PP_0814_PP_2136,303.1426
PP_0751_PP_0813_PP_4189,303.1397
PP_0437_PP_0814,303.0695
PP_0528_PP_4120_PP_4191,302.46
PP_0528_PP_0751_PP_4191,302.3938
PP_0751_PP_0813_PP_4191,302.0006
PP_2112_PP_4189_PP_5186,301.3318
PP_0001,45.00793
PP_4189_PP_4550_PP_4862,300.5382
PP_0751_PP_0813_PP_4191,299.8606
PP_0528_PP_0813_PP_4191,299.6789
PP_0751_PP_0813_PP_4191,299.4071
PP_2137_PP_4189,299.3569
PP_0813_PP_4191,299.0955
PP_0368_PP_0751,298.6419
PP_0813_PP_1317,298.2277
PP_0813_PP_1317,298.2216
PP_0814_PP_3123,297.7279
PP_0813_PP_4191,297.2606
PP_0368_PP_0812,297.0306
PP_0437_PP_0814,296.4198
PP_0814_PP_1769,296.0824
PP_0368_PP_0437,295.8036
PP_0368_PP_0812_PP_0944,295.6319
PP_0437_PP_0528_PP_3578,295.2125
PP_0812_PP_4121,294.9253
PP_0368_PP_0812_PP_4192,294.8993
PP_2137_PP_4189,294.3734
PP_0528_PP_4120_PP_4191,294.3429
PP_0437_PP_0528_PP_3578,294.0537
PP_4189_PP_4550_PP_4862,293.9191
PP_0751_PP_4189,292.3867
PP_2137_PP_4189,291.135
PP_0814_PP_4120,290.8575
PP_4189_PP_4550_PP_4862,290.5964
PP_0528_PP_0751_PP_4191,290.5556
PP_0437_PP_0528_PP_3578,289.6852
PP_0814_PP_4862,289.5582
PP_4189_PP_4192,289.4095
PP_0368_PP_0815_PP_1506,289.3695
PP_0103,191.91233
PP_0437_PP_4189,288.7084
PP_0528_PP_0813_PP_4191,288.5537
PP_0368_PP_0437,288.0453
PP_0815_PP_1506_PP_2136,287.9215
PP_0815_PP_1506_PP_2136,287.891
PP_0751_PP_0813_PP_4191,287.7525
PP_0813_PP_0814_PP_1769,287.2179
