Line Name,cycle,is_control,number_of_grna,isoprenol,to_keep_improved,line_name_norep,global_median_isoprenol,global_max_isoprenol,color
PP_0815_PP_1769_PP_2136-R1,6,False,3,189.3494,False,PP_0815_PP_1769_PP_2136,509.1121,818.6499,normal
PP_0751_PP_0815_PP_1769-R2,6,False,3,189.032,False,PP_0751_PP_0815_PP_1769,509.1121,818.6499,normal
PP_0815_PP_1769_PP_2136-R2,6,False,3,187.9375,False,PP_0815_PP_1769_PP_2136,509.1121,818.6499,normal
PP_0813_PP_1506-R1,6,False,2,187.4147,False,PP_0813_PP_1506,509.1121,818.6499,normal
PP_0815_PP_1506-R3,6,False,2,187.1415,False,PP_0815_PP_1506,509.1121,818.6499,normal
PP_0751_PP_0815_PP_1769-R1,6,False,3,183.507,False,PP_0751_PP_0815_PP_1769,509.1121,818.6499,normal
PP_0815_PP_1769-R1,6,False,2,181.1929,False,PP_0815_PP_1769,509.1121,818.6499,normal
PP_0815_PP_1506-R1,6,False,2,180.8688,False,PP_0815_PP_1506,509.1121,818.6499,normal
PP_0528_PP_0751_PP_0815_PP_1769-R3,6,False,4,180.0579,False,PP_0528_PP_0751_PP_0815_PP_1769,509.1121,818.6499,normal
PP_0528_PP_0751_PP_0815_PP_1769-R1,6,False,4,175.8958,False,PP_0528_PP_0751_PP_0815_PP_1769,509.1121,818.6499,normal
PP_0751_PP_0815_PP_1769-R3,6,False,3,172.774,False,PP_0751_PP_0815_PP_1769,509.1121,818.6499,normal
PP_0815_PP_1769_PP_2136-R3,6,False,3,170.6819,False,PP_0815_PP_1769_PP_2136,509.1121,818.6499,normal
Control_P2-R3,6,True,0,167.7428,True,Control,509.1121,818.6499,control
Control_P1-R3,6,True,0,165.8016,True,Control,509.1121,818.6499,control
Control_P2-R2,6,True,0,160.7165,True,Control,509.1121,818.6499,control
Control_P1-R1,6,True,0,157.9641,True,Control,509.1121,818.6499,control
Control_P3-R2,6,True,0,157.7208,True,Control,509.1121,818.6499,control
Control_P2-R1,6,True,0,156.8139,True,Control,509.1121,818.6499,control
Control_P4-R1,6,True,0,154.8127,True,Control,509.1121,818.6499,control
Control_P4-R2,6,True,0,152.7466,True,Control,509.1121,818.6499,control
Control_P3-R1,6,True,0,152.3844,True,Control,509.1121,818.6499,control
Control_P1-R2,6,True,0,151.6721,True,Control,509.1121,818.6499,control
Control_P4-R3,6,True,0,151.4252,True,Control,509.1121,818.6499,control
PP_0751_PP_0813_PP_0815_PP_1769-R3,6,False,4,151.4079,False,PP_0751_PP_0813_PP_0815_PP_1769,509.1121,818.6499,normal
PP_0751_PP_0813_PP_0815_PP_1769-R1,6,False,4,147.9104,False,PP_0751_PP_0813_PP_0815_PP_1769,509.1121,818.6499,normal
PP_0368_PP_0751_PP_0815_PP_1506-R3,6,False,4,147.1425,False,PP_0368_PP_0751_PP_0815_PP_1506,509.1121,818.6499,normal
PP_0368_PP_0751_PP_0815_PP_1506-R2,6,False,4,141.1573,False,PP_0368_PP_0751_PP_0815_PP_1506,509.1121,818.6499,normal
PP_0751_PP_0813_PP_0815_PP_1769-R2,6,False,4,139.9348,False,PP_0751_PP_0813_PP_0815_PP_1769,509.1121,818.6499,normal
PP_0368_PP_0751_PP_0815_PP_1506-R1,6,False,4,138.5521,False,PP_0368_PP_0751_PP_0815_PP_1506,509.1121,818.6499,normal
Control_P3-R3,6,True,0,132.5339,True,Control,509.1121,818.6499,control
PP_0815_PP_1506_PP_4120-R2,6,False,3,77.8528,False,PP_0815_PP_1506_PP_4120,509.1121,818.6499,normal
PP_0815_PP_1506_PP_4120-R3,6,False,3,77.3095,False,PP_0815_PP_1506_PP_4120,509.1121,818.6499,normal
PP_0815_PP_1506_PP_4120-R1,6,False,3,74.0918,False,PP_0815_PP_1506_PP_4120,509.1121,818.6499,normal
PP_0368_PP_0815_PP_4120-R1,6,False,3,0.0,False,PP_0368_PP_0815_PP_4120,509.1121,818.6499,normal
PP_0368_PP_0815_PP_4120-R2,6,False,3,0.0,False,PP_0368_PP_0815_PP_4120,509.1121,818.6499,normal
PP_0368_PP_0815_PP_4120-R3,6,False,3,0.0,False,PP_0368_PP_0815_PP_4120,509.1121,818.6499,normal
PP_0751_PP_0814_PP_0815_PP_1506-R1,6,False,4,0.0,False,PP_0751_PP_0814_PP_0815_PP_1506,509.1121,818.6499,normal
PP_0751_PP_0814_PP_0815_PP_1506-R2,6,False,4,0.0,False,PP_0751_PP_0814_PP_0815_PP_1506,509.1121,818.6499,normal
PP_0751_PP_0814_PP_0815_PP_1506-R3,6,False,4,0.0,False,PP_0751_PP_0814_PP_0815_PP_1506,509.1121,818.6499,normal
PP_0813_PP_0815_PP_1506-R1,6,False,3,0.0,False,PP_0813_PP_0815_PP_1506,509.1121,818.6499,normal
PP_0813_PP_0815_PP_1506-R2,6,False,3,0.0,False,PP_0813_PP_0815_PP_1506,509.1121,818.6499,normal
PP_0813_PP_0815_PP_1506-R3,6,False,3,0.0,False,PP_0813_PP_0815_PP_1506,509.1121,818.6499,normal
PP_1506_PP_4120-R1,6,False,2,0.0,False,PP_1506_PP_4120,509.1121,818.6499,normal
PP_1506_PP_4120-R2,6,False,2,0.0,False,PP_1506_PP_4120,509.1121,818.6499,normal
PP_1506_PP_4120-R3,6,False,2,0.0,False,PP_1506_PP_4120,509.1121,818.6499,normal
PP_0368_PP_0751_PP_0815-R1,5,False,3,722.3746,True,PP_0368_PP_0751_PP_0815,384.6734,722.3746,max
PP_0368_PP_0814_PP_0815-R3,5,False,3,680.3604,True,PP_0368_PP_0814_PP_0815,384.6734,722.3746,normal
PP_0368_PP_0814_PP_0815-R2,5,False,3,676.6958,True,PP_0368_PP_0814_PP_0815,384.6734,722.3746,normal
PP_0368_PP_0751_PP_0815-R2,5,False,3,673.4893,True,PP_0368_PP_0751_PP_0815,384.6734,722.3746,max
PP_0368_PP_0751_PP_0812_PP_0815-R1,5,False,4,672.8971,True,PP_0368_PP_0751_PP_0812_PP_0815,384.6734,722.3746,normal
PP_0368_PP_0814_PP_0815-R1,5,False,3,659.0132,True,PP_0368_PP_0814_PP_0815,384.6734,722.3746,normal
PP_0368_PP_0751_PP_0812_PP_0815-R2,5,False,4,657.2571,True,PP_0368_PP_0751_PP_0812_PP_0815,384.6734,722.3746,normal
PP_0368_PP_0751_PP_0815-R3,5,False,3,648.4851,True,PP_0368_PP_0751_PP_0815,384.6734,722.3746,max
PP_0368_PP_0812_PP_0813_PP_0815-R1,5,False,4,628.5783,True,PP_0368_PP_0812_PP_0813_PP_0815,384.6734,722.3746,normal
PP_0368_PP_0751_PP_0812_PP_0815-R3,5,False,4,622.206,True,PP_0368_PP_0751_PP_0812_PP_0815,384.6734,722.3746,normal
PP_0813_PP_0814_PP_0815-R2,5,False,3,619.0211,True,PP_0813_PP_0814_PP_0815,384.6734,722.3746,normal
PP_0813_PP_0814_PP_0815-R3,5,False,3,614.2366,True,PP_0813_PP_0814_PP_0815,384.6734,722.3746,normal
PP_0815_PP_2136-R1,5,False,2,603.5013,True,PP_0815_PP_2136,384.6734,722.3746,normal
PP_0813_PP_0814_PP_0815-R1,5,False,3,600.8576,True,PP_0813_PP_0814_PP_0815,384.6734,722.3746,normal
PP_0368_PP_0812_PP_0815_PP_2136-R2,5,False,4,594.634,True,PP_0368_PP_0812_PP_0815_PP_2136,384.6734,722.3746,normal
PP_0368_PP_0812_PP_0813_PP_0815-R2,5,False,4,577.7701,True,PP_0368_PP_0812_PP_0813_PP_0815,384.6734,722.3746,normal
PP_0368_PP_0751_PP_0812-R1,5,False,3,576.6218,True,PP_0368_PP_0751_PP_0812,384.6734,722.3746,normal
PP_0815_PP_2136-R2,5,False,2,571.5046,True,PP_0815_PP_2136,384.6734,722.3746,normal
PP_0368_PP_0812_PP_0815_PP_2136-R1,5,False,4,569.5938,True,PP_0368_PP_0812_PP_0815_PP_2136,384.6734,722.3746,normal
PP_0368_PP_0751_PP_0812-R3,5,False,3,561.7775,True,PP_0368_PP_0751_PP_0812,384.6734,722.3746,normal
PP_0368_PP_0751_PP_0812-R2,5,False,3,560.4283,True,PP_0368_PP_0751_PP_0812,384.6734,722.3746,normal
