orig,has_6letter_substring,extracted,locus,primary_name,organism,is_putida
sp|Q88C45|Q88C45_PSEPK Aspa,True,Q88C45,PP_5338,aspA,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88C46|Q88C46_PSEPK Pp_5337,True,Q88C46,PP_5337,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88C47|Q88C47_PSEPK Pure,True,Q88C47,PP_5336,purE,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88C48|Q88C48_PSEPK Purk,True,Q88C48,PP_5335,purK,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88C51|Q88C51_PSEPK Pp_5332,True,Q88C51,PP_5332,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88C52|Q88C52_PSEPK Pp_5331,True,Q88C52,PP_5331,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88C53|Q88C53_PSEPK Pp_5330,True,Q88C53,PP_5330,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88C54|Q88C54_PSEPK Psts,True,Q88C54,PP_5329,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88C55|Q88C55_PSEPK Pstc,True,Q88C55,PP_5328,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88C57|PSTB2_PSEPK Pstb2,True,Q88C57,PP_5326,pstB2,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88C58|Q88C58_PSEPK Phou,True,Q88C58,PP_5325,phoU,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88C59|Q88C59_PSEPK Pp_5324,True,Q88C59,PP_5324,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88C61|Q88C61_PSEPK Pp_5322,True,Q88C61,PP_5322,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88C62|Q88C62_PSEPK Phor,True,Q88C62,PP_5321,phoR,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88C63|Q88C63_PSEPK Phob,True,Q88C63,PP_5320,phoB,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88C64|Q88C64_PSEPK Pp_5319,True,Q88C64,PP_5319,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88C65|UBIA_PSEPK Ubia,True,Q88C65,PP_5318,ubiA,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
