Protein,Spearman_Correlation,Average_Abundance_Control
Pp_3383,0.1581350418502587,
Pp_3382,0.5101337632759964,
Ptxs,-0.17213960910514395,
Pp_3379,0.17893192006076508,
Kguk,-0.6443576186782485,
Kgud,0.12006254376371682,
Pp_3370,-0.3714285714285715,
Pp_3364,0.3564376633576774,
Pp_3361,0.35837756224887535,
Pp_3359,,
Pp_3316,0.34743117380727967,
Pp_3291,,
Pp_3290,0.9999999999999999,
Pp_3289,,
Pp_3288,0.4265188483519516,
Phan,,
Pp_3249,,
Pp_3248,0.1235853209659105,
Pp_3239,,
Pp_3237,0.6,
Pp_3234,0.21117566045132974,
Pp_3232,0.581387732848254,
Pp_3230,,
Pp_3227,0.14212967498082496,
Pp_3213,,
Pp_3212,-0.006178184390270009,
Pp_3211,,
Pp_3209,,
Pp_3192,0.20510046005907698,
Coda,-0.029851450840769764,
Pp_3186,-0.04177873746679183,
Pet18,-0.2073948547165476,
Pp_3174,0.006980297526796612,
Pp_3170,-0.39999999999999997,
Pp_3157,0.20482342821284302,
Pp_3156,,
Pp_3155,-0.41995987272538093,
Pp_3154,-0.6153846153846154,
Pp_3151,0.0,
Pp_3148,-0.05831725947940501,
Pp_3147,0.19257718273502863,
Pp_3146,-0.7999999999999999,
Pp_3145,-0.2347725986779045,
Pp_3141,0.4010989010989011,
Pp_3140,0.3914119394629944,
Pp_3139,0.36749556141671685,
Pp_3138,-0.5,
Pp_3135,0.5270246008530743,
Pp_3134,-0.07878787878787878,
Pp_3133,0.2758124094508813,
Pp_3131,,
Pp_3130,0.37649967738349843,
Gale,0.1458146307285949,
Pp_3128,0.6563064618144774,
Pp_3127,0.2218267437371141,
Pp_3126,0.5262605949699556,
Pp_3125,0.09844644159565705,
Pp_3123,,
Pp_3122,,
Pp_3120,0.0766058335757484,
Pp_3108,0.24965266007114162,
Pp_3107,-0.05791941016829031,
Pp_3106,0.5548246013281071,
Pp_3100,-0.3294047773999401,
Pp_3099,0.30828962850296315,
Pp_3095,0.20504762111425842,
Pp_3093,,
Pp_3092,0.039643386327446184,
Pp_3091,0.34962875426886814,
Pp_3090,,
Pp_3089,-0.12299787625265902,
Pp_3088,,
Pp_3087,1.0,
Pp_3081,,
Ppic-2,0.06738994391898945,
Eco,,
Pp_3071,0.19320892281673652,
Pp_3067,0.014785391182409919,
Pp_3033,,
Pp_3024,,
Pp_3019,-0.10591690959480127,
Pp_3014,,
Pp_2969,,
Pp_2950,-0.1285467452547453,
Pp_2947,0.2764196111761844,
Pp_2944,,
Pp_2942,0.46359076384559195,
Pp_2936,0.19674765236118757,
Pp_2933,0.2052682199831288,
Pp_2932,0.42747600507381245,
Pp_2930,,
