Box,No.,Stock No.,Plasmid No.,Description,Part ID,Gene,Plasmid No.,Stock No.
,221,IY1580,pIY1076,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_4194_NT2,JBx_249607,,,
,222,IY1581,pIY1077,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_4194_NT3,JBx_249609,,,
,223,IY1582,pIY1078,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_1607_NT1,JBx_249611,,,
,224,IY1583,pIY1079,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_1607_NT2,JBx_249613,,,
,225,IY1584,pIY1080,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_1607_NT3,JBx_249615,,,
,226,IY1585,pIY1081,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_1607_NT4,JBx_249617,,,
,227,IY1615,pIY1099,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_1444,JBx_249619,,,
,228,IY1616,pIY1100,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_0338,JBx_249621,,,
,229,IY1617,pIY1101,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_3394,JBx_249623,,,
,230,IY1618,pIY1102,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_3071,JBx_249625,,,
,231,IY1619,pIY1103,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_0582,JBx_249627,,,
,232,IY1620,pIY1104,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_3355,JBx_249629,,,
,233,IY1621,pIY1105,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_3754,JBx_249631,,,
,234,IY1622,pIY1106,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_3282,JBx_249633,,,
,235,IY1623,pIY1107,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_3755,JBx_249635,,,
,236,IY1624,pIY1108,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_1157,JBx_249637,,,
,237,IY1625,pIY1109,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_1394,JBx_249639,,,
,238,IY1626,pIY1110,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_3365,JBx_249641,,,
,239,IY1627,pIY1111,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_4679,JBx_249643,,,
,240,IY1628,pIY1112,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_4678,JBx_249645,,,
,241,IY1629,pIY1113,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_1777,JBx_249647,,,
,242,IY1630,pIY1114,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_3578,JBx_249649,,,
,243,IY1631,pIY1115,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_5288,JBx_249651,,,
BOX 4,244,IY1632,pIY1116,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_0597,JBx_249653,,,
,245,IY1633,pIY1117,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_4667,JBx_249655,,,
,246,IY1640,pIY1124,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_3122,JBx_249657,,,
,247,IY1641,pIY1125,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_3123,JBx_249659,,,
,248,IY1642,pIY1126,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_2137,JBx_249661,,,
,249,IY1643,pIY1127,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_3280,JBx_249663,,,
,250,IY1644,pIY1128,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_2471,JBx_249665,,,
,251,IY1645,pIY1129,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_4737,JBx_249667,,,
