Protein,PC1,PC2
Copa,0.002310924239130163,0.004485034517250429
Copb,0.0011299979334815683,0.02006530537405304
Coq7,-0.002016115723869287,0.03391659106974201
Crc,-0.020772869772956174,0.0023939070139112374
Crea,-0.03849197772900035,-0.0017960961409405722
Csda,-0.03677222474627358,0.008849473299277589
Csid,-0.007436181709025771,0.022058908883995205
Cspa-1,0.018159204955360816,-0.012641887472646452
Cspa-2,0.005358770507016396,0.013275362925532174
Cspd,0.002565920727639468,0.020062105009023896
Csra,-0.01761661392596018,0.0007482894784957224
Csta,-0.0010611617540617093,0.029451862012256153
Csuc,-0.023947653746243525,0.007644775366578102
Cti,-0.04237108084390648,0.003327496657918165
Cuma,0.008872766973572949,0.021953415552877113
Cyay,-0.02541939609971174,-0.03142587434816997
Cynt,0.042493206417546316,0.015229010254516569
Cyoa,0.01826069557904261,-0.014851013238842926
Cyob,0.00935985750268748,-0.026815334985213025
Cysa,-0.028062242936276714,-0.030053325998595996
Cysb,-0.022541715875974207,0.030933577874267624
Cysd,-0.0033751465890345224,-0.02356651223838417
Cyse,-0.024716778336389644,-0.016267841101546946
Cysg,-0.024024956818582518,-0.004675440692378992
Cysh,-0.025258648889741005,0.012525555918807503
Cysi,-0.013091788088821707,-0.0050309516121659036
Cysk,-0.04294302598652944,0.029628500682422898
Cysm,-0.017926350731104945,-0.006298023937943684
Cysnc,0.020364226952420978,0.005957202377176366
Cysp,-0.01901913103615316,0.010900270090154686
Cysq,-0.0269514241355397,-0.004523133083829415
Cyss,-0.02552237116625163,0.01630949533334901
Czrr-1,-0.009324692477881119,-0.009008338416619424
Daca,-0.018006910680644406,-0.010766258222452895
Dacb,-0.018173980829636196,0.04466700406973121
Dada2,-0.02474040441347367,0.0169980469429838
Dadx,-0.026175943961551255,0.01905782187225546
Dapa,-0.02216040560184165,-0.007975622162577979
Dapb,0.009068010177299558,0.022796679774063067
Dapd,-0.0025207229254319706,0.01902347684892756
Dape,-0.018268212294928733,0.003347536573465681
Dapf,-0.026081091464658653,-0.013642759140926601
Dapf-1,0.0036259793974045803,-0.0010162885213758095
Davd,0.01094072582237111,0.02720812377595857
Davt,-0.010445670932756035,0.012257813791914774
Dbpa,-0.010847996345048896,-0.03259862606486383
Dcd,-0.003018661670953208,-0.024629147356613198
Dcta,0.022507355526692956,0.016542368866524028
Dctd,0.0038422205274054205,0.011790883314384725
Ddlb,-0.01775695475321074,0.011815065132662056
Dead,0.01917768044903274,-0.03688911496742893
Def1,-0.006631264483860036,0.010871956928619468
Der,-0.0001653010387694498,0.01971828832630015
Dksa,-0.02411753085444878,-0.018784684353695527
Dnaa,-0.025197091311682147,-0.03271017981695743
Dnab,-0.01979831347996288,-0.010403907763261888
Dnae,-0.010282738268199086,-0.008670579112905051
Dnag,-0.011116423034111882,-0.025686103254332144
Dnaj,-0.005160643159725556,0.01283424668008814
Dnak,-0.015375975261734216,0.02017278661642106
Dnan,-0.03429074545427422,-0.03877203378825957
Dnax,-0.019848871388207154,-0.03910454302216516
Dppa,0.014392747097682028,0.006394435118571631
Dppd,-0.004994907761118613,0.010670808096794255
Dsbc,0.005372211789873922,0.03356248867840536
Dsbd-1,-0.019505151772882333,-0.009740815414921587
Dsbe,0.012519239385309546,0.02036053761872513
Dsre,-0.035510213826158904,-0.022441452249459013
Dusa,-0.03290004282014105,-0.022792139775887284
Dut,-0.008831931556689649,-0.027139409132713076
Dxr,-0.013644134720248063,-0.009296193311432686
Dxs,-0.01115695165651109,-0.013390652957779766
Eco,-0.012672127870088163,0.034942871316534924
