Protein.Group,PP_0368_log2_FC,PP_0368_log10_pval,PP_0437_log2_FC,PP_0437_log10_pval,PP_0528_log2_FC,PP_0528_log10_pval,PP_0812_log2_FC,PP_0812_log10_pval,PP_0813_log2_FC,PP_0813_log10_pval,PP_0814_log2_FC,PP_0814_log10_pval,PP_0815_log2_FC,PP_0815_log10_pval,PP_1317_log2_FC,PP_1317_log10_pval,PP_1506_log2_FC,PP_1506_log10_pval,PP_2136_log2_FC,PP_2136_log10_pval,PP_4120_log2_FC,PP_4120_log10_pval,PP_4189_log2_FC,PP_4189_log10_pval,PP_4191_log2_FC,PP_4191_log10_pval,PP_4192_log2_FC,PP_4192_log10_pval
PP_2208,,,,,2.3250504032810007,13.539739091169071,,,,,,,,,,,,,1.2200974052133444,1.6498175336725434,,,1.4725865299101757,2.7529231382627835,1.7546974552851105,3.7275577194746288,,
PP_2209,,,,,2.1423933069723406,2.054003138112539,,,,,,,,,,,,,,,,,,,,,,
PP_2338,,,,,1.2927924135378495,1.8314819068237473,,,,,1.3432308462201876,6.372756764753323,,,,,,,,,,,,,,,,
PP_2361,,,,,1.5722068604838753,3.3460018996390457,,,,,,,,,1.1072695239460262,1.5206981745203823,,,,,,,,,,,,
PP_2396,,,,,1.093704738981485,3.296611007301745,,,,,,,,,,,,,,,,,,,,,,
PP_2422,,,,,1.0618776607109353,1.3433085262741706,1.104702933937695,2.0734429553157563,1.7214803633379798,1.9336907468285698,1.1737875614942446,2.839214358026392,,,,,,,,,,,,,,,,
PP_2454,,,,,1.139394856437698,5.988813723929305,,,,,1.2646958836923181,6.781142810081996,,,,,,,,,,,,,,,,
PP_2666,,,,,1.0611381965391913,1.7710017063868166,,,1.0052826605696683,3.076267262438065,1.1070806998793135,3.9558619523588234,,,,,,,,,,,,,,,,
PP_2677,,,,,3.1576927262293086,3.580665875664414,,,,,3.8256666091190565,3.71068271208305,,,,,3.230143826521791,1.8288352127274337,,,3.553366483866156,2.193043049753091,,,,,,
PP_2678,,,,,1.423923824855796,6.126516578223999,,,,,1.7870999411137554,2.643212864095842,,,,,1.430322350517874,2.2840008976940234,,,1.8049730913109088,1.6043248686297864,,,,,,
PP_2687,,,,,1.1103313130734638,3.031689634668462,,,,,,,,,,,,,,,,,,,,,,
PP_2791,,,,,1.5106495723334612,3.3813761886800973,,,,,,,1.3896625169209142,1.7205322203265938,,,,,,,,,,,1.4825484052857367,5.846366904175445,,
PP_2792,,,,,1.9483410083281405,4.768041573465756,,,,,,,1.4291106773803846,1.5840985663335088,,,,,1.02455633707677,1.5920083156895766,,,,,2.0687978044834185,2.0095109023102298,,
PP_2793,,,,,1.749740822374286,13.90614225525493,,,,,,,2.0139817529189052,3.0577782247498604,,,,,,,1.1178579485160718,1.8141897808675218,,,1.6067525536017222,1.9723980180203724,,
PP_2907,,,,,-1.0348938228036435,2.4395252574304793,,,,,,,,,,,-1.2269551658273263,2.061795471914716,,,,,,,,,,
PP_2942,,,,,2.2037366677483097,15.638092105728234,,,,,,,,,,,,,,,,,,,,,,
PP_3107,,,,,1.0170473829396347,1.826107291343092,,,,,,,,,,,,,,,,,,,,,,
PP_3134,,,,,2.6997559868819208,1.9583510158443314,,,,,,,,,,,,,,,,,,,,,,
PP_3155,,,,,2.366987005100837,8.763036727991263,,,,,,,,,,,,,,,,,,,,,,
PP_3288,,,,,2.903012602190749,6.623439944225435,,,,,,,,,,,,,,,,,,,,,,
PP_3431,,,,,1.1583087753654935,10.505464931844038,,,-1.0050563693483887,3.100550845600803,,,,,,,,,,,-1.1037697605954389,8.76057464912544,,,1.3601411036035462,14.3932958491306,,
PP_3612,,,,,5.130416767190787,3.3668307364804337,,,,,,,,,,,,,,,,,,,,,,
PP_3834,,,,,1.0718364689069462,2.7669859298211157,,,,,,,,,,,,,,,,,,,,,,
PP_4362,,,,,1.8432812120708315,2.12235190509635,,,,,,,,,,,,,,,,,,,,,,
PP_4364,,,,,1.404793165768978,15.203879355727631,,,,,,,,,,,,,,,,,,,,,,
PP_4404,,,,,1.060662212911534,3.858424127906361,,,,,,,,,,,,,,,,,,,,,,
PP_4521,,,,,1.8421142805986224,1.5900607169454752,,,,,,,,,,,,,,,,,,,,,,
PP_4555,,,,,2.6007743581284952,1.925161255344014,,,,,,,,,,,,,,,,,,,3.6283728727581215,3.2855121776923197,,
PP_4651,,,,,2.6015623108060426,1.482918756006736,2.5051937917851608,1.562711994161352,2.436728021141495,1.4893907544485319,,,2.2247399729109514,1.7558046767272537,,,,,,,,,,,3.618314951109475,1.8156475573646216,,
PP_4657,,,,,1.6387351814722844,2.3345992524744243,,,,,1.258693257076997,1.7091574823522175,2.0173229839335356,2.6023059530237536,,,1.5297386286712167,5.062891534654453,,,,,,,2.05612349388703,5.018001179255309,,
