,Line Name,rep,is_control,line_name_norep,number_of_grna,isoprenol,dCas9,dCas9_normtocontrol,target_1,target_2,target_3,target_4,target_1_value,target_2_value,target_3_value,target_4_value,target_1_control,target_2_control,target_3_control,target_4_control,target_1_norm,target_2_norm,target_3_norm,target_4_norm,has_missing_control,above_dcas9_thresh,target_1_belowthresh,target_2_belowthresh,target_3_belowthresh,target_4_belowthresh,all_targets_belowthresh,all_reps_belowthresh,all_reps_above_dcas9_thresh,to_keep,to_keep_improved
122,PP_0812_PP_0814-R1,1,False,PP_0812_PP_0814,2,426.7457,3610961.05,0.9835414068961553,PP_0812,PP_0814,,,38725.08,3227.09,,,2931757.7608333337,176130.7333333333,,,0.01320882663545594,0.018322128903492524,,,False,True,True,True,False,False,True,True,True,True,True
123,PP_0814_PP_2136-R1,1,False,PP_0814_PP_2136,2,324.2048,3224614.91,0.8783097467306438,PP_0814,PP_2136,,,106892.0,180488.802,,,176130.7333333333,2749908.395,,,0.606890109278676,0.06563447798049288,,,False,True,False,True,False,False,False,False,True,False,False
124,PP_0813_PP_1769-R1,1,False,PP_0813_PP_1769,2,370.2687,6170949.79,1.6808225163054955,PP_0813,PP_1769,,,96633.2,1631573.25,,,2820323.063333333,1012275.7325,,,0.034263166959954384,1.611787379285021,,,False,True,True,False,False,False,False,False,True,False,False
125,PP_0812_PP_4189-R1,1,False,PP_0812_PP_4189,2,404.938,3747082.78,1.0206177851731624,PP_0812,PP_4189,,,150805.74,10037666.58,,,2931757.7608333337,25916447.480833337,,,0.05143867682885724,0.38730873849216474,,,False,True,True,True,False,False,True,True,True,True,True
126,PP_2136_PP_4189-R1,1,False,PP_2136_PP_4189,2,334.2288,1359040.9,0.3701709822695033,PP_2136,PP_4189,,,149023.0,5672813.65,,,2749908.395,25916447.480833337,,,0.05419198700253432,0.21888855153451736,,,False,True,True,True,False,False,True,True,False,False,False
127,Control_P3-R1,1,True,Control,0,176.9144,2322962.6,0.6327207278436723,,,,,,,,,,,,,,,,,False,True,False,False,False,False,True,True,False,False,False
128,PP_0437_PP_0814-R2,2,False,PP_0437_PP_0814,2,285.6786,4596111.54,1.2518733787791079,PP_0437,PP_0814,,,5622.34,113134.0,,,61460.84166666667,176130.7333333333,,,0.09147840881341657,0.6423296937388554,,,False,True,True,False,False,False,False,False,True,False,False
129,PP_0814_PP_4189-R2,2,False,PP_0814_PP_4189,2,392.1203,3929852.84,1.0704000784357537,PP_0814,PP_4189,,,93931.3,10129553.28,,,176130.7333333333,25916447.480833337,,,0.5333044280365986,0.39085423600172714,,,False,True,False,True,False,False,False,False,True,False,False
130,PP_0812_PP_0814-R2,2,False,PP_0812_PP_0814,2,328.939,4400813.1,1.1986786475752849,PP_0812,PP_0814,,,0.0,0.0,,,2931757.7608333337,176130.7333333333,,,0.0,0.0,,,False,True,True,True,False,False,True,True,True,True,True
131,PP_0814_PP_2136-R2,2,False,PP_0814_PP_2136,2,333.6844,3998002.2,1.0889623715442525,PP_0814,PP_2136,,,1474.65,88314.85,,,176130.7333333333,2749908.395,,,0.008372474082698422,0.032115560707614045,,,False,True,True,True,False,False,True,False,True,False,False
