,Line Name,rep,is_control,line_name_norep,number_of_grna,isoprenol,dCas9,dCas9_normtocontrol,target_1,target_2,target_3,target_4,target_1_value,target_2_value,target_3_value,target_4_value,target_1_control,target_2_control,target_3_control,target_4_control,target_1_norm,target_2_norm,target_3_norm,target_4_norm,has_missing_control,above_dcas9_thresh,target_1_belowthresh,target_2_belowthresh,target_3_belowthresh,target_4_belowthresh,all_targets_belowthresh,all_reps_belowthresh,all_reps_above_dcas9_thresh,to_keep,to_keep_improved
20,PP_0368_PP_0813_PP_4189-R3,3,False,PP_0368_PP_0813_PP_4189,3,310.6837,15107288.04,1.2717009869400093,PP_0368,PP_0813,PP_4189,,155463.64,3184674.7,31094637.74,,4753127.833333333,4654177.084166667,79821960.995,,0.03270764966802387,0.6842616089607209,0.38954991023019025,,False,True,True,False,True,False,False,False,True,False,False
21,PP_0368_PP_0814_PP_0815-R3,3,False,PP_0368_PP_0814_PP_0815,3,680.3604,9904085.18,0.8337058818760644,PP_0368,PP_0814,PP_0815,,45809.22,,,,4753127.833333333,,,,0.009637699974897232,,,,True,True,True,True,True,False,True,True,True,True,True
22,PP_0751_PP_0814_PP_4189-R3,3,False,PP_0751_PP_0814_PP_4189,3,494.0295,12011187.51,1.011077499174267,PP_0751,PP_0814,PP_4189,,320920.04,,30000208.14,,20411591.37,,79821960.995,,0.015722440949492707,,0.3758390268297116,,True,True,True,True,True,False,True,True,True,True,True
23,PP_0812_PP_0813_PP_0814-R3,3,False,PP_0812_PP_0813_PP_0814,3,404.1313,13659646.74,1.1498414668811652,PP_0812,PP_0813,PP_0814,,341009.2,34825.92,,,6837733.683333334,4654177.084166667,,,0.04987167032129293,0.007482723448249627,,,True,True,True,True,True,False,True,True,True,True,True
24,PP_0368_PP_0812_PP_2136-R1,1,False,PP_0368_PP_0812_PP_2136,3,361.4609,9300975.1,0.7829372937655628,PP_0368,PP_0812,PP_2136,,400946.0,2695989.9,1312900.0,,4753127.833333333,6837733.683333334,12559180.166666664,,0.08435413775076601,0.3942812084903735,0.1045370782628447,,False,True,True,True,True,False,True,True,True,True,True
25,PP_0812_PP_0813_PP_1317-R1,1,False,PP_0812_PP_0813_PP_1317,3,303.7683,12033371.3,1.0129448858000054,PP_0812,PP_0813,PP_1317,,870601.4,321084.9,161881.0,,6837733.683333334,4654177.084166667,3115493.01,,0.12732309275543321,0.06898854388079013,0.05195999460772342,,False,True,True,True,True,False,True,True,True,True,True
26,PP_0751_PP_0812_PP_0813-R1,1,False,PP_0751_PP_0812_PP_0813,3,346.5902,3048014.2,0.25657567765201383,PP_0751,PP_0812,PP_0813,,15666943.7,3123480.0,2669312.0,,20411591.37,6837733.683333334,4654177.084166667,,0.7675513102337791,0.4568004758087232,0.573530390384349,,False,True,False,True,False,False,False,False,False,False,False
27,PP_0812_PP_0813_PP_4189-R1,1,False,PP_0812_PP_0813_PP_4189,3,372.8055,9127086.7,0.7682997195489385,PP_0812,PP_0813,PP_4189,,673334.92,351905.52,31351534.38,,6837733.683333334,4654177.084166667,79821960.995,,0.09847340525139542,0.07561068554893821,0.39276828067358355,,False,True,True,True,True,False,True,True,True,True,True
28,PP_0812_PP_0815_PP_4189-R1,1,False,PP_0812_PP_0815_PP_4189,3,491.8601,9319159.88,0.7844680518084397,PP_0812,PP_0815,PP_4189,,76885.16,,26800155.26,,6837733.683333334,,79821960.995,,0.01124424605588312,,0.3357491462992089,,True,True,True,True,True,False,True,True,True,True,True
29,PP_0812_PP_0815_PP_2136-R1,1,False,PP_0812_PP_0815_PP_2136,3,526.2498,8232442.18,0.6929903512472224,PP_0812,PP_0815,PP_2136,,102417.26,,481959.78,,6837733.683333334,,12559180.166666664,,0.014978246410742411,,0.038375098820476364,,True,True,True,True,True,False,True,True,True,True,True
30,PP_0368_PP_0437-R1,1,False,PP_0368_PP_0437,2,295.8036,12196688.6,1.0266926061747321,PP_0368,PP_0437,,,158389.85,9317.05,,,4753127.833333333,153335.24083333337,,,0.03332328848578903,0.06076261366509411,,,False,True,True,True,False,False,True,True,True,True,True
31,Control_P1-R1,1,True,Control,0,153.6597,14273190.12,1.2014883091079522,,,,,,,,,,,,,,,,,False,True,False,False,False,False,True,True,True,True,True
32,PP_0368_PP_0812_PP_2136-R2,2,False,PP_0368_PP_0812_PP_2136,3,369.3804,5966880.55,0.5022799501999927,PP_0368,PP_0812,PP_2136,,161268.63,1512882.41,1158957.87,,4753127.833333333,6837733.683333334,12559180.166666664,,0.03392894861127762,0.22125494792047581,0.09227973917246539,,False,True,True,True,True,False,True,True,True,True,True
33,PP_0812_PP_0813_PP_1317-R2,2,False,PP_0812_PP_0813_PP_1317,3,352.0188,13671673.34,1.1508538417726109,PP_0812,PP_0813,PP_1317,,1033553.88,1862453.96,55523.16,,6837733.683333334,4654177.084166667,3115493.01,,0.15115445085544071,0.4001682631148688,0.017821628815016987,,False,True,True,True,True,False,True,True,True,True,True
34,PP_0751_PP_0812_PP_0813-R2,2,False,PP_0751_PP_0812_PP_0813,3,336.5257,3689006.0,0.31053307242215106,PP_0751,PP_0812,PP_0813,,14437702.0,3429773.7,2576595.0,,20411591.37,6837733.683333334,4654177.084166667,,0.7073285829746649,0.5015950984402797,0.5536091458069952,,False,True,False,False,False,False,False,False,False,False,False
35,PP_0812_PP_0813_PP_4189-R2,2,False,PP_0812_PP_0813_PP_4189,3,390.2052,10406337.34,0.8759844540376337,PP_0812,PP_0813,PP_4189,,1359395.68,158495.7,28784104.2,,6837733.683333334,4654177.084166667,79821960.995,,0.19880793007681263,0.034054505691069714,0.36060382182045136,,False,True,True,True,True,False,True,True,True,True,True
36,PP_0812_PP_0815_PP_4189-R2,2,False,PP_0812_PP_0815_PP_4189,3,387.3665,4636926.1,0.39032707141909295,PP_0812,PP_0815,PP_4189,,0.0,,22018803.5,,6837733.683333334,,79821960.995,,0.0,,0.27584894213986105,,True,True,True,True,True,False,True,True,True,True,True
37,PP_0812_PP_0815_PP_2136-R2,2,False,PP_0812_PP_0815_PP_2136,3,328.045,6562758.7,0.5524397690532903,PP_0812,PP_0815,PP_2136,,556226.0,,1786152.9,,6837733.683333334,,12559180.166666664,,0.08134654342502044,,0.1422189089014449,,True,True,True,True,True,False,True,True,True,True,True
38,PP_0368_PP_0437-R2,2,False,PP_0368_PP_0437,2,288.0453,10106617.2,0.8507546181574541,PP_0368,PP_0437,,,176577.3,10386.9,,,4753127.833333333,153335.24083333337,,,0.03714970566574635,0.06773980947595709,,,False,True,True,True,False,False,True,True,True,True,True
39,Control_P1-R2,2,True,Control,0,152.3662,10835817.3,0.912137209420125,,,,,,,,,,,,,,,,,False,True,False,False,False,False,True,True,True,True,True
40,PP_0368_PP_0812_PP_2136-R3,3,False,PP_0368_PP_0812_PP_2136,3,356.4569,6783675.46,0.5710360956063907,PP_0368,PP_0812,PP_2136,,65375.88,1855423.72,156580.42,,4753127.833333333,6837733.683333334,12559180.166666664,,0.013754286081161924,0.2713506851725611,0.012467407738570413,,False,True,True,True,True,False,True,True,True,True,True
41,PP_0812_PP_0813_PP_1317-R3,3,False,PP_0812_PP_0813_PP_1317,3,354.4863,12300875.68,1.0354628640867802,PP_0812,PP_0813,PP_1317,,971282.48,466730.68,46050.36,,6837733.683333334,4654177.084166667,3115493.01,,0.1420474275515376,0.10028210606506571,0.014781082753897754,,False,True,True,True,True,False,True,True,True,True,True
42,PP_0751_PP_0812_PP_0813-R3,3,False,PP_0751_PP_0812_PP_0813,3,323.7834,2183011.35,0.18376148524776803,PP_0751,PP_0812,PP_0813,,15083943.61,3221895.92,2047650.94,,20411591.37,6837733.683333334,4654177.084166667,,0.7389891036212723,0.47119353710034445,0.43995982597353894,,False,False,False,True,True,False,False,False,False,False,False
43,PP_0812_PP_0813_PP_4189-R3,3,False,PP_0812_PP_0813_PP_4189,3,396.2964,8323590.2,0.7006630074304316,PP_0812,PP_0813,PP_4189,,779404.6,153726.5,29916824.5,,6837733.683333334,4654177.084166667,79821960.995,,0.11398580817790015,0.03302979178058602,0.37479440654024987,,False,True,True,True,True,False,True,True,True,True,True
44,PP_0812_PP_0815_PP_4189-R3,3,False,PP_0812_PP_0815_PP_4189,3,502.1074,8810297.44,0.7416330396307873,PP_0812,PP_0815,PP_4189,,91897.19,,27898298.51,,6837733.683333334,,79821960.995,,0.01343971471483238,,0.34950655386363577,,True,True,True,True,True,False,True,True,True,True,True
45,PP_0812_PP_0815_PP_2136-R3,3,False,PP_0812_PP_0815_PP_2136,3,510.4002,9417254.95,0.7927254966259774,PP_0812,PP_0815,PP_2136,,331606.5,,447960.15,,6837733.683333334,,12559180.166666664,,0.048496550956390105,,0.03566794520465051,,True,True,True,True,True,False,True,True,True,True,True
