,Strain,Time,Temperature,Titer
336,IY1449 ΔPP_0812-0815 ΔPP_1317 ΔPP_0368  ΔPP_0751,48 hr,24,162.177
337,ΔPP_0812-15 ΔPP_0368,48 hr,24,59.4864
338,ΔPP_0812-15 ΔPP_0368,48 hr,24,70.0222
339,ΔPP_0812-15 ΔPP_0368,48 hr,24,37.8455
340,PCK-1,48 hr,24,634.2773
341,PCK-1,48 hr,24,465.3918
342,PCK-1,48 hr,24,628.1761
343,PCK-2,48 hr,24,749.558
344,PCK-2,48 hr,24,
345,PCK-2,48 hr,24,712.8817
346,PCK-3,48 hr,24,734.7389
347,PCK-3,48 hr,24,835.4568
348,PCK-3,48 hr,24,780.5354
349,PCK-4,48 hr,24,694.4805
350,PCK-4,48 hr,24,821.4931
351,PCK-4,48 hr,24,713.647
352,PCK-5,48 hr,24,721.809
353,PCK-5,48 hr,24,766.5473
354,PCK-5,48 hr,24,832.3259
355,PCK-6,48 hr,24,669.0241
356,PCK-6,48 hr,24,672.4855
357,PCK-6,48 hr,24,686.5603
358,PCK-7,48 hr,24,631.1432
359,PCK-7,48 hr,24,444.479
360,PCK-7,48 hr,24,679.4849
361,PCK-8,48 hr,24,813.622
362,PCK-8,48 hr,24,657.5581
363,PCK-8,48 hr,24,756.0551
364,PCK-9,48 hr,24,619.5871
365,PCK-9,48 hr,24,496.4154
366,PCK-9,48 hr,24,607.9892
367,PCK-10,48 hr,24,609.4079
368,PCK-10,48 hr,24,729.3496
369,PCK-10,48 hr,24,743.6706
370,PCK-Control,48 hr,24,444.0932
371,PCK-Control,48 hr,24,502.5698
372,PCK-Control,48 hr,24,457.6179
