Protein.Group,File1_abundance,File2_abundance,log2_change,p_value,log10_p_value
PP_0421,0.03703307325,0.023865268888888888,-0.6339016876187057,0.013574732198234024,1.8672687293985208
PP_0422,0.057689472250000005,0.056543427888888886,-0.028948717749875764,0.8552877468513034,0.06788774977958019
PP_0428,0.01602761825,0.009860551444444445,-0.7008198171197779,0.008571529858715518,2.066941657668124
PP_0432,0.057737496500000006,0.06289633188888889,0.12346732803182928,0.24618414172413597,0.6087399261549798
PP_0436,0.041137688666666665,0.04491526488888889,0.1267451043343203,0.5201750344170573,0.2838504954217569
PP_0440,0.14319983341666667,0.1268772311111111,-0.17459662229748818,0.10174529991074702,0.9924856437240995
PP_0442,0.08394766441666666,0.11165782766666668,0.4115223011609969,0.001534938121925887,2.8139091275795005
PP_0443,0.27781472933333334,0.4210560503333334,0.5998892044765711,2.23583949705699e-06,5.650559376118519
PP_0444,0.9908163519166666,0.711896141,-0.4769508974604063,2.869457975492653e-06,5.542200131309179
PP_0445,0.47797758175,0.3002652167777778,-0.6707055936902226,6.910462704047504e-07,6.160492872584277
PP_0446,1.6807700840833333,0.6866222962222222,-1.2915337780871416,6.971136995106614e-07,6.156696382528986
PP_0447,0.2600850396666667,0.41318954877777775,0.6678203466087456,0.0010030622482319295,2.9986721146119097
PP_0448,0.20979538674999998,0.348596179,0.7325738015802927,0.00035849580155705214,3.445515926108543
PP_0449,0.3117762783333333,0.3348073194444445,0.10281990396499077,0.09302877757954586,1.031382685739193
PP_0450,0.48549800125000003,0.5935224302222222,0.2898371965813339,0.0008014444914959393,3.0961265517525396
PP_0451,0.8309332504999999,0.9175588411111111,0.14306808904891105,0.10012396341807576,0.9994619671288304
PP_0452,1.9071189105833335,2.0481213951111115,0.10290642869797213,0.11397496604650612,0.9431905285036464
PP_0453,0.47118663125,0.5431171345555555,0.2049647720483992,0.02084979677141016,1.6808981738549855
PP_0454,0.4015543281666667,0.683279846888889,0.7668813857111023,6.767195109283253e-08,7.1695913019170705
PP_0455,0.44476621541666667,0.5040181792222223,0.18042856598273763,0.006764391138540299,2.1697712880644753
PP_0456,0.21150351050000002,0.20553833933333332,-0.041274082367725964,0.7034538448335368,0.15276439231834452
PP_0457,0.47960141758333336,0.5704344964444444,0.25022530692264167,0.006705167060040551,2.1735903971785397
PP_0458,0.1116307385,0.10800964733333333,-0.04757416208194437,0.8391523909802808,0.07615916366229897
PP_0459,0.2354522965,0.31333160955555556,0.41225552504784296,0.032234447112375345,1.4916797744401171
PP_0460,0.36285158733333334,0.3343156568888889,-0.11816865950497864,0.36394086262719283,0.43896917987075584
PP_0461,0.47574802224999996,0.5876723699999999,0.3048144111513504,0.0011938161947731589,2.9230625339609193
PP_0462,0.3577083661666667,0.161453382,-1.1476661990925192,3.8655111515821067e-07,6.412793069498941
PP_0463,0.6751102619166667,0.5622673764444444,-0.2638668064952855,0.000675844460930133,3.1701532412360702
PP_0464,0.21336383841666665,0.3507564488888889,0.7171539446629102,5.416288622324901e-08,7.266298201091143
PP_0465,0.25470074466666665,0.4783482401111111,0.9092581128931672,3.0969763713862535e-06,5.509062108112929
PP_0466,0.65719185525,0.4898921086666667,-0.42385054827220414,0.0029880518204508954,2.524611875015701
PP_0467,0.24829553091666667,0.27696137933333337,0.15762652018817355,0.11560732380452435,0.9370146521859055
PP_0468,0.4055724089166666,0.294057798,-0.46385975990878114,2.659676543981273e-07,6.575171176792112
PP_0469,0.40341979916666665,0.5089717146666666,0.3353035921938736,0.0010962583679240045,2.9600870785706235
PP_0470,0.2645925196666667,0.2949701001111111,0.15679644635296452,0.2279521346584967,0.6421563364909064
PP_0471,0.3073762125833333,0.3560611424444444,0.2121194793477747,0.05561847017468724,1.2547809608841003
PP_0473,0.386646375,0.3595270294444444,-0.10491444976816365,0.19666591388290838,0.7062709054357792
PP_0474,0.05413266183333334,0.059099995999999995,0.12665870217253497,0.24725830011948313,0.6068491208204184
PP_0476,0.3110423983333333,0.28679540444444446,-0.11708934143776986,0.3176501949592947,0.49805087377836554
PP_0477,0.24304255808333333,0.23275364788888886,-0.06240518080172418,0.4386416978917791,0.3578900860567217
PP_0478,0.38876022308333336,0.4657289823333334,0.2606100501641127,0.013198873215124753,1.8794631428351458
PP_0479,0.42252896241666665,0.3896322606666667,-0.11693710065263371,0.038255025285136426,1.4173115066475683
PP_0480,0.20448273875,0.27227845655555555,0.4131037724335359,0.00021813885228836433,3.661266976183252
PP_0481,0.0033716651666666664,0.0015009511111111111,-1.1675842858823606,0.13000208000799301,0.8860496990103398
PP_0482,0.04389488108333334,0.011312236666666666,-1.956168497276887,1.3155112695573095e-05,4.880905427102726
