Protein,PC1,PC2
Iles,-0.010078963577057742,-0.00039789767980363496
Ilva-1,-0.007456353338564313,0.02109420257286211
Ilva-2,0.0033376620773123053,-0.009746472379322201
Ilvb,-0.022956132997704323,-0.04601722899942412
Ilvc,0.0007222550895940146,-0.04319831698706523
Ilvd,0.018582669584164536,-0.02431358350602572
Ilve,-0.011250091539149246,0.041397432950206293
Ilvn,-0.01742811935629084,-0.03761313082315234
Infa,-0.008004794231719523,-0.041598601038964726
Infb,0.023479636972817113,0.013673009370255866
Infc,-0.0040781203144294,-0.025106641785189246
Isca,0.03764231582257067,0.041625747100046066
Iscs,0.00485465504271163,-0.0137789034005312
Iscu,-0.004250258426200833,-0.013519164387370981
Ispa,-0.008738176811445668,0.010484573823762989
Ispb,0.013526512890701342,-0.00904478673067253
Ispe,-0.009573664776352202,0.0028375770078905025
Ispf,-0.021048292991180335,-0.001565931362050622
Ispg,-0.007622390899882431,-0.002520357394497384
Isph,-0.023495481405678652,-0.0382920723857692
Kata,-0.02349381142931173,-0.006167533581839028
Katg,-0.029392525338365214,0.025397233866327723
Kdpd,-0.006154164257871734,0.01216408343411319
Kdpe,-0.009886526996379045,0.026497028163477147
Kdsa1,-0.015177519071917826,0.0034976538582821666
Kdsa2,-0.01914919877049183,0.011981129088415211
Kdsb,-0.0033575063057639455,0.01828224586664792
Kdta,-0.034018060594175864,-0.008961792096619639
Kgda,-0.004899532617285507,-0.00513780851007073
Kgdb,-0.02241805088936523,-0.027960416424123485
Kgud,0.03766420467122714,-0.02339154116281195
Kguk,0.03570746053365719,-0.027024615780009267
Krt1,-0.004207505010977767,0.0004156879889809797
Krt10,0.0018896190283164789,-0.00010140384726455504
Krt2,0.0018796656350196525,0.004947048508012311
Krt9,-0.005769491478903279,-0.002778943219859019
Lepa,-0.00704018860781758,-0.001585920781652086
Lepb,-0.009817195047381917,0.01637294540769175
Leua,-0.0028737184779276184,-0.029811577736753064
Leub,-0.004322824581185299,-0.020468721435340082
Leuc,0.002175018971386177,-0.019820953831677642
Leud,0.013371822599626068,-0.0028828401354371257
Leus,0.025320900828960904,0.002690058954326854
Liga,-0.006726170749327892,0.01899983558950807
Lipa,-0.007150311452161835,-0.04084474100486833
Lipb,-0.03682167007259357,-0.007814025297873747
Lippks1,0.006120464123244751,0.02242994351529913
Lnt,-0.01611101471228161,-0.022393095160528884
Lola,-0.009477471999267595,0.031728099951340766
Lolb,-0.037826265061740486,0.015396231454996528
Lolc,-0.017788636995253463,-0.00503290075114556
Lold,-0.023346504889544175,-0.012657024145331637
Lole,-0.010292026004238706,0.022336599272509108
Lon-1,-0.002302208172728966,0.018211085895543225
Lon-2,-0.017795386125101825,-0.022726999636174697
Lpd3,-0.039710352917782736,0.007994598571388258
Lpdg,-0.022649171118375767,-0.03860402127892157
Lpdv,-0.014794716046763108,0.014412908690471052
Lpta,0.0004503002112545286,0.0430834671730323
Lptc,-0.011030970181563984,-0.009209124400416699
Lpte,-0.016966404669287262,0.010769757912826706
Lpxa,-0.013213369420096136,0.0017146057477449082
Lpxb,-0.02332230173800406,-0.0027231476664977957
Lpxc,-0.031462974838766436,-0.024722118048759685
Lpxd,-0.01289913272964549,-0.0008572817217701961
Lpxh,-0.028035512128863446,-0.037658216652238494
Lrp,-0.016453135850184614,0.0008706573300521428
Lsfa,-0.0414055876572816,0.0004412905315735424
Lysa-1,-0.0006222254746326239,0.02575853846138207
Lysa-2,-0.013871859201568812,0.007990356636286085
Lyss,-0.011742855988101906,-0.02066600434447059
Maeb,0.010125651322502456,0.020953733644745075
Maf-1,-0.0011039506540468016,0.01693481937487262
Maf-2,-0.026489951663836813,0.0037514905575355773
Map,-0.026718931972044176,-0.024415565474642135
Mcps,-0.028916385926426483,0.006226672571829843
Mdh,-0.019171903331650836,-0.012329979239182911
Metf,-0.014777469056583847,-0.024084428336927758
Metg,-0.004521302437892648,0.011750384718437113
Meth,0.0014118154845598483,0.011771665463487879
Metk,-0.008116669025524431,-0.0012953271839277326
Metn1,-0.011768388639684518,-0.002283129268640373
Metr-1,-0.03680921850562131,-0.018175434989721878
Metw,-0.01365126975543815,-0.0006455853424190825
Metx,-0.0032072957780436145,-0.01319336159395455
Mety,-0.04221755001286766,-0.019955670340056474
Metz,-0.034255618356442724,-0.02543780225778408
Mext,-0.02927725625180755,0.006182964244377493
Mfd,-0.018958912997929712,0.013930164161288823
Mgte,-0.012575872737010371,-0.026525507851681344
Miaa,-0.030975063323600387,-0.001463126498780142
Minc,-0.029273761695223253,-0.03111282432120996
Mind,-0.006856956352249681,0.01861864960479492
Mine,-0.006294017825964703,0.02660121198642618
Mioc,-0.01871097583673242,-0.01020794319446481
Mltb,-0.011133112612956578,0.021874877603833352
Mltf,-0.016052172596289094,0.025902139485939356
Mmsa-1,0.004608456629491613,-0.03295176081806956
Mmsa-2,-0.017567463559202065,0.02533866245841116
Mmsb,-0.022429281986961338,0.02597560433546147
Mnma,-0.03558224704822239,-0.02547231655158466
Mnme,-0.024644068260068177,0.010607219380958616
Mnmg,-0.0008231837882411835,-0.04752369428442718
Moab-1,-0.02119586863371993,0.037036858391962045
Moea,-0.028671024748267243,0.024393068905738252
Mota,-0.027510780988695617,-0.016296599574060364
Motb,-0.021124504170333867,-0.01951544285296215
Mpl,-0.019087538041261377,0.015599095858562142
Mqo1,-0.01791419547556536,0.004825012877805276
Mqo2,-0.035369273382955264,0.027942881020873955
Mqo3,-0.03529489334581818,0.006506795587570396
Mrcb,-0.0171196738580478,-0.002481072328650766
